words,count
soft,61
shampoo,52
conditioner,45
smell,44
work,28
dry,27
clear,24
leaf,20
oily,19
hair,14
naturally,14
curly,13
thick,12
short,12
static,12
far,12
greasy,10
original,9
tried,8
heavy,8
pretty,8
bottle,8
mask,7
scalp,7
smooth,7
least,7
weigh,6
stronger,6
shine,6
thicker,6
oil,5
fresh,5
longer,5
healthy,5
silky,5
softer,5
people,4
visibly,4
exchange,4
TRUE,4
tremendous,4
sleek,4
straight,4
shower,4
limp,4
conditionner,4
pantene,4
live,4
change,4
rince,4
slipt,4
strongly,4
thin,3
tiny,3
loral,3
companion,3
fragrancealbeit,3
accidently,3
drie,3
effective,3
especially,3
porous,3
salon,3
fizzy,3
particular,3
exclusively,3
honestly,3
flat,3
step,3
texture,3
avoid,3
defy,3
deep,3
natural,3
terrible,3
considerably,3
walmart,2
smelltouch,2
end,2
normal,2
stuff,2
regular,2
prevent,2
favorable,2
absolute,2
spectacular,2
rest,2
quickly,2
packaging,2
tight,2
price,2
type,2
lightly,2
impressed,2
oiliest,2
noticeably,2
silicone,2
wash,2
conditioned,2
doesnt,2
closer,2
feel,2
wish,2
sample,2
untangle,2
grease,2
perfectly,2
incredibly,2
general,2
usual,2
scent,2
barely,2
reminiscent,2
frizzy,2
humid,2
fantastically,2
dye,2
tree,2
formula,2
day,2
shelf,2
nowhere,2
user,2
unbelievably,2
fan,2
biggest,2
religiously,2
batch,2
everything,2
justice,2
search,2
immediately,2
gem,2
promptly,2
nearly,2
knot,2
atleast,2
condtions,2
honesty,2
coconut,2
fragrance,2
unbelievable,2
simply,1
teen,1
influnester,1
detangles,1
extra,1
fair,1
lightweight,1
tangle,1
reasonably,1
someone,1
main,1
absorb,1
fcomplimentary,1
typically,1
literally,1
pair,1
tajingbthe,1
stiff,1
picky,1
promise,1
worth,1
perform,1
routine,1
function,1
part,1
version,1
stay,1
rich,1
ginger,1
aussir,1
hesitant,1
fairly,1
stick,1
realise,1
shampooconditioner,1
personal,1
shiny,1
soluble,1
care,1
gross,1
lively,1
intensive,1
lather,1
straighten,1
cheap,1
cheaper,1
straw,1
nutritioni,1
