,make,Production,Imports,Total,Exports,Domestic,perapitause,price
1,melon,2737,119,2856,91,2765,13,27
2,melon,2709,113,2823,115,2708,13,27
3,melon,2528,159,2687,103,2584,12,29
4,melon,2617,169,2786,86,2699,13,31
5,melon,2347,167,2513,93,2420,11,35
6,melon,2440,146,2585,115,2470,11,33
7,melon,2646,192,2837,84,2753,13,33
8,melon,2689,175,2864,85,2779,13,30
9,melon,2527,200,2727,80,2647,12,26
10,melon,2408,219,2627,62,2565,11,28
11,melon,2272,206,2477,52,2425,11,31
12,melon,2613,126,2739,59,2680,12,29
13,melon,2734,237,2971,74,2897,12,20
14,melon,2534,186,2720,70,2651,11,22
15,melon,3191,283,3474,65,3409,14,22
16,melon,3044,220,3264,45,3219,14,16
17,melon,2930,197,3127,58,3069,13,18
18,melon,2893,308,3201,48,3153,13,16
19,melon,3116,262,3378,59,3319,14,25
20,melon,3095,360,3455,85,3370,14,19
21,melon,3187,229,3416,94,3321,13,22
22,melon,3097,231,3328,102,3227,13,18
23,melon,3778,211,3990,212,3778,15,20
24,melon,3692,216,3908,215,3693,14,22
25,melon,3923,271,4194,242,3952,15,22
26,melon,3943,336,4279,239,4040,15,24
27,melon,4272,455,4728,255,4472,17,24
28,melon,3992,504,4497,269,4228,15,23
29,melon,3721,484,4205,245,3960,14,23
30,melon,4059,482,4540,292,4248,15,21
31,melon,3749,446,4195,293,3902,14,21
32,melon,4048,484,4531,249,4282,15,23
33,melon,3959,451,4410,364,4045,14,21
34,melon,3833,489,4322,384,3938,14,19
35,melon,3688,547,4235,424,3811,13,16
36,melon,3702,660,4362,350,4012,14,17
37,melon,3987,831,4817,297,4520,15,18
38,melon,3735,903,4638,286,4352,14,15
39,melon,3994,1057,5051,307,4744,16,19
40,melon,3893,1003,4896,308,4588,15,18
41,melon,4170,990,5160,296,4864,16,16
42,melon,3613,1044,4657,343,4314,14,18
43,melon,3615,1093,4708,344,4364,14,18
44,melon,3610,1303,4913,333,4580,14,16
45,melon,3326,1443,4769,338,4431,14,20
46,melon,3548,1555,5103,332,4771,15,18
47,melon,3988,1710,5697,350,5347,17,15
48,melon,4003,1595,5599,340,5259,16,17
49,melon,3868,1595,5463,326,5137,16,20
